date,total,free,in-use
2018-09-12 00:30:01,16,16,0
2018-09-12 00:35:01,16,16,0
2018-09-12 00:40:01,16,16,0
2018-09-12 00:45:01,16,16,0
2018-09-12 00:50:01,16,16,0
2018-09-12 00:55:01,16,16,0
2018-09-12 01:00:01,16,16,0
2018-09-12 01:05:01,16,16,0
2018-09-12 01:10:01,16,16,0
2018-09-12 01:15:01,16,16,0
2018-09-12 01:20:01,16,16,0
2018-09-12 01:25:01,16,16,0
2018-09-12 01:30:01,16,16,0
2018-09-12 01:35:01,16,16,0
2018-09-12 01:40:01,16,16,0
2018-09-12 01:45:01,16,16,0
2018-09-12 01:50:01,16,16,0
2018-09-12 01:55:01,16,16,0
2018-09-12 02:00:01,16,16,0
2018-09-12 02:05:01,16,16,0
2018-09-12 02:10:01,16,16,0
2018-09-12 02:15:01,16,16,0
2018-09-12 02:20:01,16,16,0
2018-09-12 02:25:01,16,16,0
2018-09-12 02:30:01,16,16,0
2018-09-12 02:35:01,16,16,0
2018-09-12 02:40:01,16,16,0
2018-09-12 02:45:01,16,16,0
2018-09-12 02:50:01,16,16,0
2018-09-12 02:55:01,16,16,0
2018-09-12 03:00:01,16,16,0
2018-09-12 03:05:01,16,16,0
2018-09-12 03:10:01,16,16,0
2018-09-12 03:15:01,16,16,0
2018-09-12 03:20:02,16,16,0
2018-09-12 03:25:01,16,16,0
2018-09-12 03:30:01,16,16,0
2018-09-12 03:35:01,16,16,0
2018-09-12 03:40:01,16,16,0
2018-09-12 03:45:01,16,16,0
2018-09-12 03:50:01,16,16,0
2018-09-12 03:55:01,16,16,0
2018-09-12 04:00:01,16,16,0
2018-09-12 04:05:01,16,16,0
2018-09-12 04:10:01,16,16,0
2018-09-12 04:15:01,16,16,0
2018-09-12 04:20:01,16,16,0
2018-09-12 04:25:01,16,16,0
2018-09-12 04:30:01,16,16,0
2018-09-12 04:35:01,16,16,0
2018-09-12 04:40:01,16,16,0
2018-09-12 04:45:02,16,16,0
2018-09-12 04:50:01,16,16,0
2018-09-12 04:55:01,16,16,0
2018-09-12 05:00:01,16,16,0
2018-09-12 05:05:01,16,16,0
2018-09-12 05:10:01,16,16,0
2018-09-12 05:15:01,16,16,0
2018-09-12 05:20:01,16,16,0
2018-09-12 05:25:01,16,16,0
2018-09-12 05:30:01,16,16,0
2018-09-12 05:35:01,16,16,0
2018-09-12 05:40:01,16,16,0
2018-09-12 05:45:01,16,16,0
2018-09-12 05:50:01,16,16,0
2018-09-12 05:55:01,16,16,0
2018-09-12 06:00:01,16,16,0
2018-09-12 06:05:01,16,16,0
2018-09-12 06:10:01,16,16,0
2018-09-12 06:15:01,16,16,0
2018-09-12 06:20:01,16,16,0
2018-09-12 06:25:01,16,16,0
2018-09-12 06:30:01,16,16,0
2018-09-12 06:35:01,16,16,0
2018-09-12 06:40:01,16,16,0
2018-09-12 06:45:01,16,16,0
2018-09-12 06:50:01,16,16,0
2018-09-12 06:55:01,16,16,0
2018-09-12 07:00:01,16,16,0
2018-09-12 07:05:01,16,16,0
2018-09-12 07:10:01,16,16,0
2018-09-12 07:15:01,16,16,0
2018-09-12 07:20:01,16,16,0
